date,open,high,low.close,volume,unadjClose,flag
19741202,69.8,69.8,67.81,68.11,1114,68.11,1.0
19741203,68.11,68.13,66.62,67.17,1362,67.17,1.0
19741204,67.17,68.32,66.61,67.41,1258,67.41,1.0
19741205,67.41,68.0,65.9,66.13,1289,66.13,1.0
19741206,66.13,66.2,64.4,65.01,1550,65.01,1.0
19741209,65.01,66.29,64.13,65.6,1466,65.6,1.0
19741210,65.88,68.17,65.88,67.28,1569,67.28,1.0
19741211,67.28,69.03,66.83,67.67,1570,67.67,1.0
19741212,67.67,68.61,66.56,67.45,1539,67.45,1.0
19741213,67.45,68.15,66.32,67.07,1400,67.07,1.0
19741216,67.07,67.74,66.02,66.46,1537,66.46,1.0
19741217,66.46,67.92,65.86,67.58,1688,67.58,1.0
19741218,67.58,69.01,67.3,67.9,1805,67.9,1.0
19741219,67.9,68.62,66.93,67.65,1590,67.65,1.0
19741220,67.65,67.93,66.36,66.91,1584,66.91,1.0
19741223,66.91,67.18,65.34,65.96,1804,65.96,1.0
19741224,65.96,67.25,65.86,66.88,954,66.88,1.0
19741226,66.88,68.19,66.62,67.44,1181,67.44,1.0
19741227,67.44,67.99,66.49,67.14,1306,67.14,1.0
19741230,67.14,67.65,66.23,67.16,1852,67.16,1.0
19741231,67.16,69.04,67.15,68.56,2097,68.56,1.0
19750102,68.65,70.92,68.65,70.23,1480,70.23,1.0
19750103,70.23,71.64,69.29,70.71,1527,70.71,1.0
19750106,70.71,72.24,70.33,71.07,1755,71.07,1.0
19750107,71.07,71.75,69.92,71.02,1489,71.02,1.0
19750108,71.02,71.53,69.65,70.04,1560,70.04,1.0
19750109,70.04,71.42,69.04,71.17,1634,71.17,1.0
19750110,71.6,73.75,71.6,72.61,2589,72.61,1.0
19750113,72.61,73.81,71.83,72.31,1978,72.31,1.0
19750114,72.31,72.7,71.02,71.68,1661,71.68,1.0
19750115,71.68,72.77,70.45,72.14,1658,72.14,1.0
19750116,72.14,72.93,71.26,72.05,1711,72.05,1.0
19750117,72.05,72.36,70.56,70.96,1426,70.96,1.0
19750120,70.96,71.46,69.8,71.08,1345,71.08,1.0
19750121,71.08,72.04,70.25,70.7,1478,70.7,1.0
19750122,70.7,71.97,69.86,71.74,1533,71.74,1.0
19750123,71.74,73.11,71.09,72.07,1796,72.07,1.0
19750124,72.07,73.57,71.55,72.98,2067,72.98,1.0
19750127,73.76,76.03,73.76,75.37,3213,75.37,1.0
19750128,75.37,77.59,75.36,76.03,3176,76.03,1.0
19750129,76.03,78.03,75.23,77.26,2741,77.26,1.0
19750130,77.26,78.69,75.82,76.21,2974,76.21,1.0
19750131,76.21,77.72,75.41,76.98,2464,76.98,1.0
19750203,76.98,78.55,76.36,77.82,2540,77.82,1.0
19750204,77.82,78.37,76.0,77.61,2504,77.61,1.0
19750205,77.61,79.4,76.81,78.95,2583,78.95,1.0
19750206,78.95,80.72,78.09,78.56,3202,78.56,1.0
19750207,78.56,79.12,77.0,78.63,1906,78.63,1.0
